"","Point.Forecast","Lo.80","Hi.80","Lo.95","Hi.95"
"Jan 2014",10210618.9883196,9412589.11502696,11008648.8616123,8990137.61847633,11431100.3581629
"Feb 2014",8722657.55950003,7882411.93580693,9562903.18319313,7437612.77091516,10007702.3480849
"Mar 2014",7137962.19655078,6295513.49820446,7980410.8948971,5849548.09603836,8426376.2970632
"Apr 2014",5919873.95295563,5060513.89313653,6779234.01277473,4605596.15697646,7234151.74893481
"May 2014",5946729.62171631,5087081.7504622,6806377.49297041,4632011.6561317,7261447.58730092
"Jun 2014",8383811.51278745,7524148.31697502,9243474.70859987,7069070.11031337,9698552.91526152
"Jul 2014",9362212.86174545,8500206.30859558,10224219.4148953,8043887.60349234,10680538.1199986
"Aug 2014",10018952.9272443,9155934.58950302,10881971.2649856,8699080.27799062,11338825.576498
"Sep 2014",8547611.72404941,7684559.39679034,9410664.05130849,7227687.09231411,9867536.35578472
"Oct 2014",5781905.88688311,4918467.32058851,6645344.45317771,4461390.55351752,7102421.22024869
"Nov 2014",6193673.2922422,5329717.37084537,7057629.21363903,4872366.73252658,7514979.85195782
"Dec 2014",8373766.91783267,7509704.70942731,9237829.12623802,7052297.80616491,9695236.02950042
